audio_framerate,asr_output,time_taken
48000,স্বামীর ঠিকানায় ভোটার গোতে কি কী কাগজপত্র লাগে,25.109313011169434
48000,হ্যালো,0.34426069259643555
48000,কি ছিন্নমূল ভোটার হলে কোন ঠিকানা ব্যবহার করবে,0.7973904609680176
48000,রবিতে জমা দেওয়ার পরতেদিন পর পতিত্নের জন্য এখানে কাসেন,0.6571950912475586
48000,হ্যালো,0.4233424663543701
48000,তিনতু জন্মবিদেশে কিন্তু বিদ্যা বাংলাদেশে সেক্ষেত্রে কি কি কাগজপত্র দিতে পারি,0.812675952911377
48000,নতুন বন্য আবেদনকারী স্টেটা পাপলনি করমীয় বাহিনী,0.6776072978973389
48000,আবার কতদিন পরে এনআইডি নম্বর পাওয়া সম্ভবহ্যালো,0.7966387271881104
48000,উপ জেলা থেকে ছবি,0.41622185707092285
48000,উপজেলা থেকে ছবি তোলার পর আবার ছবি তুলতে ও কাগজপত্র জমা দিতে এখনের শেষেটি কী করব,0.8706867694854736
48000,আমার এনআইডি নাম পরিবর্তন করতে হবে কী করতে হবে,1.1102886199951172
48000,মাইগ্রেশন করতে কত টাকা লাগে,0.5047919750213623
48000,নমককে টেস খাল রা নাম মকামরি কবে,1.2851738929748535
48000,া তাকি দিতে হয় কি না,0.510728120803833
48000,হা,0.36348700523376465
48000,দি নতুন ভোটার হিসেবে অনলাইনে কিভাবে আবেদন করব,0.6735413074493408
48000,অনলাইনে কি ধরনের আবেদন করা যায়,0.5400142669677734
48000,অনলাইনে কি ধরনের আবেদন করা যায় না,0.5934736728668213
48000,এনআইডি অনলাইন পোর্টালে রেজিস্ট্রেশন করবো কিভাবে,0.5646393299102783
48000,বিলকে অন লিঙে দেওয়ার সুযোগ আছে কি অ্যানআইডি,0.5487580299377441
48000,হ্যালো হ্যালো ম্যাচ মাউন্ড ঠিক করার জন্য কোনো পিল দিতে হবে,0.9318249225616455
48000,আমি ভুলক্রমে দুইবারে জাতীয় পরিচয়পত্র করেছি এখন দুইটি জাতীয় পরিচয়পত্র লক হয়ে আছেকোনো কাজ করতে পারছি না প্রথমবার যে সময় জাতীয় পরিচয়পত্র কুরছি সেটার জন্মদারিক আমার শিক্ষাসনাদের সঙ্গে মিলছে না তবে দ্বিতীয়টির সঙ্গে মিল রয়েছে এখন কী করব,2.4065144062042236
48000,আমি ভুলক্রমে দুইবারে জন্মনিবেনধন করেছি দুটি জন্মনিবন্ধনের তারিখাভিন্ন এখন জাতীয় পরিষদধন সংশোধনের জন্য আবেদন করেছি কিন্তু সংশাধন কর্তৃপক্ষ জানিয়েছে যে দুইটি জ্নিবন্ধন অনলাইনে বিদ্যমান থাকায় আমার আবেদন বাতিল,2.259110689163208
48000,পিতামাতা মারা যাওয়ায় একজন লালন বালন করে ভোটারোওয়ার সময় পালক পিতামাতার নামেই ভোটা রয়েছে এখন তারা পরকৃত মৃত্যমা নয় কী করতে হবে,1.5970759391784668
48000,এনআইডি সংশোধনের জন্য অনলাইনে আবেদন করার এড্রেস কি,0.7602741718292236
48000,আচ্ছা হ্যালো হ্যালো এনআইডি কারেকশন করব কোন ওয়েবসাইটে ঢুকতে হবে,0.8364710807800293
48000,এনআইডি পোর্টালের অ্যড্রেস জানতে চাই,0.49840879440307617
48000,হ্যালো হ্যালো নতুন ভোটার হতে চাই,0.6040225028991699
48000,হ্যালো আমি হ্যালো আমি জাতীয় পরিচয় গত্র করতে চাই,0.6472129821777344
48000,নতুন এনআইডি কার্ড করতে কি করব,0.5426599979400635
48000,হ্যালো হ্যালো নতুন নিবন্ধনের জন্য কি কি ডকুমেন্ট জমা দিতে হয়,0.8173832893371582
48000,হ্যালো আমার এনআইডি কার্ড তথ্য বুল আছে কি করব,0.76924729347229
48000,হ্যালো হ্যালো এনআইডি কার্ডে নিজ নামের সংশোধনের জন্য কি ডকুমেন্টস লাগবে,0.9385800361633301
48000,হ্যালো এনআইডি কার্ডে পিতামাতার নাম সংশোধনের জন্য কি ডকুমেন্টস লাগবে,0.9068937301635742
48000,হ্যালো হ্যালো স্বামীর ঠিকানায় ভোটার হুতে কি কি কাগজপত্র লাগে,0.8136816024780273
